Year,State,county_name,Rent,Pop,RentInc,PopInc,Class,Class2,,
2016,Montana,Roosevelt County,895,"10,425",0.147435897,0.077658303,Rural,Rural,,
2016,Montana,Rosebud County,817,"9,233",0.047435897,0.077658303,Rural,Rural,,
2016,Montana,Sanders County,858,"11,413",0.077889447,0.191964286,Rural,Rural,,
2016,Montana,Sheridan County,941,"3,384",0.020607375,-0.016230839,Rural,Rural,,
2016,Montana,Silver Bow County,867,"34,200",0.08782936,0.302027748,Urban,Urban,,
2016,Montana,Stillwater County,971,"9,117",0.099660249,0.101893598,Rural,Rural,,
2016,Montana,Sweet Grass County,848,"3,651",-0.080260304,0.020739405,Rural,Rural,,
2016,Montana,Teton County,856,"6,073",-0.013824885,0.170362903,Rural,Rural,,
2016,Montana,Toole County,954,"5,324",0.034707158,0.03606853,Rural,Rural,,
2016,Montana,Treasure County,1067,718,0.223623853,0.260080645,Rural,Rural,,
2016,Montana,Valley County,817,"7,369",-0.057670127,0.036781609,Rural,Rural,,
2016,Montana,Wheatland County,931,"2,168",0.059158134,0.099798387,Rural,Rural,,
2016,Montana,Wibaux County,931,"1,017",0.059158134,0.099798387,Rural,Rural,,
2016,Montana,Yellowstone County,1080,"147,972",0.077844311,0.185884692,Urban,Urban,,
2017,Montana,Beaverhead County,946,"9,246",0.026030369,0.209677419,Rural,Rural,,
2017,Montana,Big Horn County,918,"12,865",0.033783784,0.159371493,Rural,Urban,,
2017,Montana,Blaine County,852,"6,491",0.092307692,0.121863799,Rural,Rural,,
2017,Montana,Broadwater County,938,"5,612",0.111374408,0.160930233,Rural,Rural,,
2017,Montana,Carbon County,1202,"10,078",0.199600798,0.404572565,Rural,Rural,,
2017,Montana,Carter County,960,"1,160",0.092150171,0.143145161,Rural,Rural,,
2017,Montana,Cascade County,1004,"81,327",0.046923879,0.245649949,Urban,Urban,,
2017,Montana,Chouteau County,950,"5,813",0.030368764,0.05026738,Rural,Rural,,
2017,Montana,Custer County,991,"11,699",0.08543264,0.125545852,Rural,Rural,,
2017,Montana,Daniels County,960,"1,751",0.122807018,0.143145161,Rural,Rural,,
2017,Montana,Dawson County,881,"8,966",-0.020022247,-0.011722272,Rural,Rural,,
2017,Montana,Deer Lodge County,927,"9,298",0.005422993,0.11627907,Rural,Rural,,
2017,Montana,Fallon County,938,"2,890",0.017353579,0.143145161,Rural,Rural,,
2017,Montana,Fergus County,931,"11,586",0.138141809,0.11632101,Rural,Rural,,
2017,Montana,Flathead County,1087,"90,928",-0.012715713,-0.080120937,Tourist,Tourist,,
2017,Montana,Gallatin County,1234,"89,513",0.123861566,0.13267627,Tourist,Tourist,,
2017,Montana,Garfield County,985,"1,206",0.120591581,0.143145161,Rural,Rural,,
2017,Montana,Glacier County,852,"13,399",-0.075921909,0.019095477,Tourist,Tourist,,
2017,Montana,Golden Valley County,947,884,0.152068127,0.093690249,Rural,Rural,,
2017,Montana,Granite County,864,"3,079",0.107692308,0.159274194,Rural,Rural,,
2017,Montana,Hill County,886,"16,096",-0.039045553,0.129589633,Rural,Urban,,
2017,Montana,Jefferson County,1055,"11,406",0.352564103,0.676224612,Rural,Rural,,
2017,Montana,Judith Basin County,881,"2,072",-0.01343785,0.143145161,Rural,Rural,,
2017,Montana,Lake County,989,"28,746",0.158079625,0.007207207,Rural,Urban,,
